loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5029650688171388,20.64073371887207,7.770961145194275e-07,0.0012275869476817787,20,,,,,,,,,
0.8456544876098633,6.9651780128479,1.5950920245398775e-06,0.0024551738953635573,40,,,,,,,,,
0.3680025577545166,3.6203064918518066,2.4130879345603274e-06,0.0036827608430453364,60,,,,,,,,,
0.20788543224334716,3.3937883377075195,3.2310838445807776e-06,0.004910347790727115,80,,,,,,,,,
0.14736173152923585,5.2622151374816895,4.049079754601227e-06,0.006137934738408894,100,,,,,,,,,
0.12125934362411499,2.751490592956543,4.8670756646216775e-06,0.007365521686090673,120,,,,,,,,,
0.10341095924377441,3.2540643215179443,5.685071574642127e-06,0.008593108633772452,140,,,,,,,,,
0.09324697256088257,2.8986451625823975,6.503067484662578e-06,0.00982069558145423,160,,,,,,,,,
0.08117402195930482,2.3600504398345947,7.321063394683027e-06,0.011048282529136009,180,,,,,,,,,
0.07564296126365662,4.13340425491333,8.139059304703476e-06,0.012275869476817788,200,,,,,,,,,
0.07564846873283386,2.0651490688323975,8.957055214723927e-06,0.013503456424499566,220,,,,,,,,,
0.06685462594032288,2.438492774963379,9.775051124744377e-06,0.014731043372181346,240,,,,,,,,,
0.06982390880584717,2.0685205459594727,1.0593047034764828e-05,0.015958630319863124,260,,,,,,,,,
0.06282374858856202,1.683115005493164,1.1411042944785277e-05,0.017186217267544903,280,,,,,,,,,
0.061682379245758055,3.076829671859741,1.2229038854805726e-05,0.018413804215226683,300,,,,,,,,,
0.06218939423561096,1.7440720796585083,1.3047034764826176e-05,0.01964139116290846,320,,,,,,,,,
0.057518744468688966,2.5504422187805176,1.3865030674846627e-05,0.020868978110590238,340,,,,,,,,,
0.05859469771385193,1.5188839435577393,1.4683026584867078e-05,0.022096565058272018,360,,,,,,,,,
0.0557233452796936,1.4152121543884277,1.5501022494887527e-05,0.023324152005953797,380,,,,,,,,,
0.05409796833992005,2.3041415214538574,1.6319018404907976e-05,0.024551738953635577,400,,,,,,,,,
0.054337477684020995,1.0970948934555054,1.7137014314928426e-05,0.025779325901317353,420,,,,,,,,,
0.052640902996063235,1.6473634243011475,1.795501022494888e-05,0.027006912848999132,440,,,,,,,,,
0.056198179721832275,1.8635402917861938,1.8773006134969328e-05,0.028234499796680912,460,,,,,,,,,
0.05214788913726807,1.185825228691101,1.9591002044989777e-05,0.02946208674436269,480,,,,,,,,,
0.04930413961410522,2.6213366985321045,1.9999980242337404e-05,0.03068967369204447,500,,,,,,,,,
0.05017538070678711,1.129635214805603,1.999982218150506e-05,0.03191726063972625,520,,,,,,,,,
0.04771183729171753,1.044352412223816,1.99995060623387e-05,0.03314484758740803,540,,,,,,,,,
0.04994954168796539,0.9193804860115051,1.9999031889834946e-05,0.034372434535089806,560,,,,,,,,,
