epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.0012302014454866985,65.65840148925781,7.78688524590164e-07,10.990852355957031,20,,,,
0.002460402890973397,20.229022979736328,1.5983606557377053e-06,7.748740386962891,40,,,,
0.003690604336460095,11.388222694396973,2.418032786885246e-06,5.912455368041992,60,,,,
0.004920805781946794,10.176234245300293,3.2377049180327876e-06,4.876627349853516,80,,,,
0.006151007227433492,9.577549934387207,4.057377049180329e-06,4.152706909179687,100,,,,
0.00738120867292019,13.310670852661133,4.877049180327869e-06,3.7415695190429688,120,,,,
0.008611410118406888,23.860864639282227,5.696721311475411e-06,3.4585803985595702,140,,,,
0.009841611563893588,14.518980979919434,6.516393442622952e-06,3.265911102294922,160,,,,
0.011071813009380286,14.043843269348145,7.336065573770492e-06,3.0854063034057617,180,,,,
0.012302014454866984,17.384428024291992,8.155737704918034e-06,2.9305419921875,200,,,,
0.013532215900353682,20.894466400146484,8.975409836065575e-06,2.801970863342285,220,,,,
0.01476241734584038,22.249866485595703,9.795081967213116e-06,2.7112186431884764,240,,,,
0.01599261879132708,17.994876861572266,1.0614754098360655e-05,2.6494419097900392,260,,,,
0.017222820236813777,14.752909660339355,1.1434426229508198e-05,2.5325958251953127,280,,,,
0.018453021682300477,16.30573272705078,1.2254098360655739e-05,2.455173683166504,300,,,,
0.019683223127787176,10.319367408752441,1.3073770491803278e-05,2.348316192626953,320,,,,
0.020913424573273873,16.28463363647461,1.3893442622950821e-05,2.2693660736083983,340,,,,
0.022143626018760573,16.267763137817383,1.471311475409836e-05,2.1767229080200194,360,,,,
0.02337382746424727,13.48360538482666,1.5532786885245903e-05,2.0641136169433594,380,,,,
0.02460402890973397,15.935227394104004,1.6352459016393446e-05,1.9779930114746094,400,,,,
0.02583423035522067,15.796675682067871,1.7172131147540985e-05,1.8687009811401367,420,,,,
0.027064431800707365,12.117204666137695,1.7991803278688528e-05,1.7601430892944336,440,,,,
0.028294633246194065,8.855049133300781,1.8811475409836068e-05,1.6662263870239258,460,,,,
0.02952483469168076,12.12883186340332,1.9631147540983607e-05,1.5556857109069824,480,,,,
0.03075503613716746,13.089670181274414,1.9999975990033196e-05,1.430483627319336,500,,,,
0.03198523758265416,14.087024688720703,1.999980930980166e-05,1.3647401809692383,520,,,,
0.03321543902814086,6.826317310333252,1.9999483889161504e-05,1.254445457458496,540,,,,
0.03444564047362755,8.165084838867188,1.9998999733278574e-05,1.1916281700134277,560,,,,
0.03567584191911426,5.138736248016357,1.9998356849838518e-05,1.069722843170166,580,,,,
0.03690604336460095,8.662753105163574,1.9997555249046697e-05,1.0078155517578125,600,,,,
0.03813624481008765,6.988979339599609,1.9996594943627993e-05,0.9484837532043457,620,,,,
0.03936644625557435,3.8292317390441895,1.9995475948826626e-05,0.8665782928466796,640,,,,
0.04059664770106105,7.318012237548828,1.99941982824059e-05,0.808449649810791,660,,,,
0.041826849146547745,4.610509395599365,1.9992761964647937e-05,0.7514694213867188,680,,,,
0.04305705059203445,9.214256286621094,1.9991167018353336e-05,0.7072697162628174,700,,,,
0.044287252037521145,4.131278991699219,1.9989413468840818e-05,0.6769425392150878,720,,,,
0.04551745348300784,3.425894021987915,1.998750134394684e-05,0.6200625896453857,740,,,,
0.04674765492849454,3.6428189277648926,1.9985430674025118e-05,0.5999877452850342,760,,,,
0.04797785637398124,3.024040937423706,1.998320149194619e-05,0.5437225818634033,780,,,,
0.04920805781946794,7.2448225021362305,1.998081383309685e-05,0.5248294830322265,800,,,,
0.04920805781946794,,,,800,0.27979961037635803,9.7385,205.371,12.836
0.050438259264954634,2.9084692001342773,1.9978267735379613e-05,0.5081623077392579,820,,,,
0.05166846071044134,3.2087817192077637,1.9975563239212114e-05,0.474324369430542,840,,,,
0.05289866215592803,3.4020731449127197,1.9972700387526456e-05,0.4552250862121582,860,,,,
0.05412886360141473,2.736666440963745,1.9969679225768523e-05,0.4339109420776367,880,,,,
0.05535906504690143,7.550321102142334,1.9966499801897282e-05,0.41630024909973146,900,,,,
0.05658926649238813,2.6469593048095703,1.9963162166383995e-05,0.4083460807800293,920,,,,
0.057819467937874826,2.8298211097717285,1.995966637221144e-05,0.3887234926223755,940,,,,
0.05904966938336152,3.11545729637146,1.9956012474873046e-05,0.3872884035110474,960,,,,
0.060279870828848225,3.605194091796875,1.9952200532372044e-05,0.3674692392349243,980,,,,
0.06151007227433492,7.063111305236816,1.9948230605220516e-05,0.34642620086669923,1000,,,,
0.06274027371982162,3.5618948936462402,1.9944102756438447e-05,0.3507604837417603,1020,,,,
0.06397047516530832,2.847323417663574,1.9939817051552727e-05,0.33988776206970217,1040,,,,
0.06520067661079501,2.175156831741333,1.9935373558596113e-05,0.33595502376556396,1060,,,,
0.06643087805628171,2.3493053913116455,1.9930772348106132e-05,0.3209318876266479,1080,,,,
0.06766107950176842,5.150381088256836,1.9926013493123982e-05,0.30200538635253904,1100,,,,
0.0688912809472551,2.311464309692383,1.9921097069193366e-05,0.31791956424713136,1120,,,,
